nombre,disco,fecha_lanzamiento,duracion,genero
a little bitty tear,george jones,1962-01-01,66.0,country
because he lives,gaither vocal band,2009-01-01,40.0,country
yeah you get props,the beatnuts,2015-01-01,77.0,hip hop
i kill children,dead kennedys,1980-01-01,58.0,rock
lalena,donovan,1964-01-01,40.0,pop
stand up,najee,1988-01-01,169.0,jazz
finger poppin' time,hank ballard,2005-01-01,46.0,blues
r.i.p.,jeezy,2019-01-01,83.0,hip hop
waiting for the sun,the doors,1970-01-01,50.0,rock
charley's girl,lou reed,1976-01-01,61.0,rock
anyone who had a heart,dionne warwick,1964-01-01,23.0,pop
andmoreagain,love,1967-01-01,43.0,pop
sweet little you,neil sedaka,1960-01-01,91.0,pop
i was born to love you,queen,1995-01-01,83.0,rock
marie,supersuckers,1995-01-01,141.0,blues
zombie (feat. madchild & insane clown posse),jelly roll,2016-01-01,97.0,country
time won't let me go,the bravery,2007-01-01,34.0,rock
mistreated mama blues,dock boggs,1964-01-01,72.0,blues
fit to be tied down,conway twitty,1990-01-01,32.0,country
that black bat licorice,jack white,2014-01-01,127.0,blues
televised,hunny,2017-01-01,27.0,rock
in due time,killswitch engage,2013-01-01,64.0,rock
flex (ooh, ooh, ooh),rich homie quan,2015-01-01,158.0,pop
opera singer,cake,2001-01-01,71.0,rock
soul flower,the pharcyde,1992-01-01,195.0,jazz
for once in my life,nancy wilson,1994-01-01,71.0,jazz
speechless (full),naomi scott,2019-01-01,82.0,pop
restless,conway twitty,1959-01-01,61.0,country
we can live on love,glenn miller,2005-01-01,28.0,jazz
fuckin' wit' d,dmx,1998-01-01,180.0,pop
dj play my blues,buddy guy,1982-01-01,53.0,country
kill the director,the wombats,2007-01-01,80.0,pop
night life,thin lizzy,1974-01-01,48.0,blues
in the garden,perry como,1958-01-01,32.0,pop
these walls,trapt,2002-01-01,91.0,rock
wicked lady,wicked lady,1968-01-01,109.0,blues
queen of spades,styx,1978-01-01,67.0,rock
i made a mistake,the impressions,1964-01-01,47.0,blues
just dropped in,mickey newbury,2002-01-01,64.0,country
i go crazy,will downing,1991-01-01,72.0,jazz
son,the dear hunter,2009-01-01,38.0,jazz
a.m.,chris young,2013-01-01,101.0,country
ice cream cakes,jeff beck,1972-01-01,58.0,blues
little fury things,dinosaur jr.,1987-01-01,33.0,pop
african dub,the abyssinians,1998-01-01,34.0,reggae
don't wake me,moonchild,2015-01-01,64.0,jazz
opio,hieroglyphics,1998-01-01,76.0,jazz
ocean as well,nahko and medicine for the people,2014-01-01,153.0,reggae
paralyzing ignorance,meshuggah,1991-01-01,73.0,jazz
time on the nile,hiroshima,1983-01-01,179.0,jazz
they can't take that away from me,patti austin,1988-01-01,51.0,jazz
night life,dottie west,1965-01-01,50.0,country
deep in a dream,artie shaw,2005-01-01,47.0,jazz
yall ain't know,bone thugs-n-harmony,2014-01-01,64.0,hip hop
take the highway,the marshall tucker band,1973-01-01,55.0,country
pitchfork kids,ajr,2013-01-01,83.0,pop
cocked, locked & ready to rock,ted nugent,2018-01-01,73.0,blues
shooting hoops,g. love & special sauce,1994-01-01,102.0,reggae
the captain and the kid,jimmy buffett,1976-01-01,60.0,rock
nine tonight,bob seger,1981-01-01,64.0,rock
higher,the score,2017-01-01,34.0,rock
but not for me,sarah vaughan,1986-01-01,23.0,jazz
lose,travis scott,2016-01-01,184.0,pop
buddah lovaz,bone thugs-n-harmony,1995-01-01,181.0,pop
when u cry,swv,1997-01-01,66.0,pop
crazy beautiful life,kesha,2010-01-01,118.0,pop
baby,firefall,1978-01-01,34.0,country
fascination,nat king cole,1966-01-01,31.0,jazz
love takes time,mariah carey,1990-01-01,70.0,pop
where there is love,patrice rushen,1982-01-01,47.0,jazz
i learned from the best,whitney houston,1998-01-01,95.0,pop
beatbox,crazy p,2013-01-01,149.0,jazz
it amazes me,blossom dearie,1958-01-01,37.0,jazz
explicações,dj nel'assassin,2012-01-01,109.0,hip hop
halo,soil,2011-01-01,46.0,rock
here in your bedroom,goldfinger,1996-01-01,56.0,pop
good to my baby (stereo),the beach boys,1965-01-01,68.0,pop
traveller,mungo's hi fi,2014-01-01,190.0,reggae
cecilia,simon & garfunkel,1972-01-01,52.0,pop
chandra,keith jarrett,1994-01-01,172.0,jazz
more than this,one direction,2012-01-01,109.0,pop
start a war,the national,2007-01-01,60.0,pop
lest we forget (blood),esperanza spalding,2019-01-01,85.0,jazz
the awakening,lukas nelson and promise of the real,2010-01-01,44.0,blues
i can't be with you,the cranberries,1994-01-01,31.0,pop
way back,tanya stephens,2004-01-01,155.0,reggae
broke down,slaid cleaves,2002-01-01,109.0,country
antichrist superstar,marilyn manson,1996-01-01,73.0,rock
house of broken love,great white,1989-01-01,76.0,rock
birds,the meters,1972-01-01,169.0,jazz
still,hunter hayes,2019-01-01,60.0,country
i stay away,alice in chains,1994-01-01,44.0,rock
way out,krizz kaliko,2012-01-01,112.0,country
i'll always be loving you,george strait,1994-01-01,31.0,country
the pimp and the priest,the dear hunter,2007-01-01,87.0,jazz
lay it down,waylon jennings,1973-01-01,43.0,country
with plenty of money and you,count basie,1959-01-01,33.0,jazz
the nod,fat freddy's drop,2009-01-01,182.0,jazz
weak and powerless,a perfect circle,2003-01-01,49.0,rock
clean my wounds,corrosion of conformity,1994-01-01,111.0,rock
full nelson,limp bizkit,2000-01-01,83.0,rock
river of tears,alessia cara,2015-01-01,151.0,pop
c'est si bon,louis armstrong,2000-01-01,56.0,jazz
dream of me,the oak ridge boys,1981-01-01,35.0,country
citizens,alice russell,2013-01-01,30.0,jazz
lost in the world,kanye west,2010-01-01,136.0,pop
reach out and touch (somebody's hand),aretha franklin,1971-01-01,62.0,jazz
i know a place,rita marley,1991-01-01,147.0,reggae
blackened,between the buried and me,2006-01-01,94.0,jazz
thou shall not steal,wailing souls,1973-01-01,86.0,reggae
a lesson in gravity,ballyhoo!,2013-01-01,41.0,reggae
so far away,social distortion,1990-01-01,33.0,pop
you spin me right round (like a record),sweet,2012-01-01,152.0,blues
looky looky yonder / black betty / yellow women's door bells,lead belly,1996-01-01,194.0,country
the blueprint,boogie down productions,1989-01-01,130.0,hip hop
rest of my life,soja,2010-01-01,103.0,reggae
protect us jah,morgan heritage,1996-01-01,55.0,reggae
hold on,michael bublé,2009-01-01,60.0,pop
zungguzungguguzungguzeng,yellowman,1983-01-01,171.0,reggae
no headstone on my grave,esther phillips,2005-01-01,44.0,blues
thunderclouds (feat. sia, diplo, and labrinth),sia,2019-01-01,143.0,pop
how long,the marcus king band,2018-01-01,79.0,blues
everything is fair,a tribe called quest,1991-01-01,186.0,pop
ambush in the night,bob marley & the wailers,1979-01-01,102.0,reggae
nice boys,temporex,2017-01-01,8.0,rock
what's in it for me,john berry,1993-01-01,33.0,country
potential new boyfriend,dolly parton,1983-01-01,111.0,country
daydreaming,radiohead,2016-01-01,9.0,rock
i'm sprung,t-pain,2005-01-01,86.0,pop
remember,ella fitzgerald,1958-01-01,50.0,blues
that's how strong my love is,the rolling stones,1965-01-01,42.0,rock
wonder what's next,chevelle,2002-01-01,96.0,rock
time on my hands,oscar peterson,1954-01-01,27.0,jazz
calypso vacation,marty robbins,1964-01-01,57.0,country
stay,charlie rich,1958-01-01,38.0,country
nothing's funny,the dillinger escape plan,2013-01-01,76.0,jazz
when the tigers broke free,pink floyd,1983-01-01,63.0,rock
tears for you,the judds,1985-01-01,40.0,country
funky #7,hot tuna,1975-01-01,50.0,blues
you lie,dr. john,2012-01-01,99.0,blues
surfin' bird,the trashmen,1987-01-01,116.0,rock
that's why i sing this way,daryle singletary,2002-01-01,30.0,country
aldhechen manin,tinariwen,2004-01-01,28.0,blues
mira,melody gardot,2012-01-01,30.0,jazz
soul,rival sons,2011-01-01,71.0,blues
don't you hear jerusalem moan?,the judds,1996-01-01,48.0,country
wipe the clock,uncle tupelo,1992-01-01,45.0,country
hush your mouth,bo diddley,1958-01-01,51.0,blues
swish,tyga,2018-01-01,172.0,pop
will you miss me?,woody guthrie,1962-01-01,51.0,blues
as low as you can go,earl thomas conley,1981-01-01,47.0,country
lovefool,the cardigans,1996-01-01,62.0,pop
insane, insane again,the j. geils band,1981-01-01,153.0,country
echo,jason walker,2011-01-01,74.0,pop
testify,rage against the machine,1999-01-01,131.0,rock
do you remember?,phil collins,1989-01-01,78.0,rock
strength of a woman,shaggy,2002-01-01,88.0,reggae
deep dark dungeon,j.j. cale,1981-01-01,44.0,blues
forward march,derrick morgan,1997-01-01,73.0,reggae
in the end,andy gibb,1977-01-01,22.0,country
stage fright,the band,1970-01-01,48.0,country
tears of the lonely,mickey gilley,1974-01-01,40.0,country
your song,andy williams,1962-01-01,64.0,pop
rat race,the drifters,1964-01-01,51.0,pop
the motherload,mastodon,2014-01-01,72.0,rock
freebird,molly hatchet,1985-01-01,38.0,blues
trust in jesus,third day,2010-01-01,68.0,rock
dirty south,upchurch,2018-01-01,88.0,country
trying to survive,montgomery gentry,1999-01-01,76.0,country
the lotto,ingrid michaelson,2016-01-01,106.0,rock
anniversary song,eva cassidy,2000-01-01,45.0,jazz
ain't that a lot of love,taj mahal,1968-01-01,107.0,country
pledging my love,emmylou harris,1983-01-01,32.0,country
you are my one desire,buddy holly,1958-01-01,9.0,pop
please don't walk away,george benson,1985-01-01,53.0,jazz
we both walk,lorrie morgan,1998-01-01,54.0,country
me and you,donna fargo,1986-01-01,42.0,country
her man,waylon jennings,1990-01-01,44.0,country
crooked teeth,death cab for cutie,2005-01-01,63.0,pop
wave,milt jackson,1976-01-01,29.0,jazz
not afraid to fight version,the gladiators,1982-01-01,33.0,reggae
i think it's time she learned,waylon jennings,1972-01-01,30.0,country
it's all right,the impressions,1963-01-01,82.0,pop
ride on girl,johnny clarke,1978-01-01,58.0,reggae
take my time/rifles,black rebel motorcycle club,2001-01-01,62.0,blues
tired,adele,2008-01-01,70.0,pop
towering fool,gov't mule,1998-01-01,71.0,blues
hurry on,the ethiopians,1977-01-01,56.0,reggae
free to be me,francesca battistelli,2008-01-01,43.0,pop
shalala,moses gunn collective,2015-01-01,39.0,rock
ghosts,dan fogelberg,1981-01-01,92.0,country
cool kids,screeching weasel,1996-01-01,58.0,pop
quittin' time,keith whitley,1985-01-01,86.0,country
wicked rebel,slightly stoopid,2003-01-01,189.0,reggae
no man's land,alice cooper,1983-01-01,146.0,blues
cancer,twenty one pilots,2016-01-01,39.0,rock
it's all good,boney james,1997-01-01,11.0,jazz
broken english,marianne faithfull,1979-01-01,56.0,pop
i remember nothing,joy division,1979-01-01,42.0,rock
i saw it in the mirror,abba,1973-01-01,42.0,pop
hold my liquor,kanye west,2013-01-01,132.0,pop
by the way,ruby and the romantics,1963-01-01,27.0,blues
black ghost blues,lightnin' hopkins,1991-01-01,55.0,country
come with me,rick braun,2019-01-01,97.0,jazz
never gonna leave this bed,maroon 5,2010-01-01,62.0,pop
to see my angel cry,conway twitty,2006-01-01,42.0,country
little dolls,ozzy osbourne,1981-01-01,65.0,rock
long long winter,the impressions,1964-01-01,58.0,pop
one of my bad habits,waylon jennings,1972-01-01,48.0,country
mad love,linda ronstadt,1980-01-01,43.0,country
music, maestro, please!,the flamingos,1959-01-01,40.0,pop
it had to be you (big band and vocals),harry connick, jr.,1989-01-01,26.0,jazz
the promise of a new day,paula abdul,1991-01-01,149.0,pop
slow down,morcheeba,2002-01-01,28.0,jazz
diana,frankie lymon,1958-01-01,42.0,pop
enna vendum,t. m. soundararajan,1958-01-01,153.0,pop
river,joni mitchell,1971-01-01,85.0,pop
across the universe,fiona apple,1998-01-01,100.0,pop
new millennium cyanide christ,meshuggah,1998-01-01,115.0,jazz
loraine,linton kwesi johnson,1980-01-01,92.0,reggae
gravity is a b**ch,miranda lambert,2014-01-01,113.0,country
going steady,death from above 1979,2004-01-01,24.0,blues
don't run,wailing souls,1987-01-01,101.0,reggae
lord give me strength,luciano,2001-01-01,107.0,reggae
thin air (smells like mississippi),widespread panic,2004-01-01,57.0,blues
there she goes,ziggy marley & the melody makers,1993-01-01,139.0,reggae
move love,robert glasper experiment,2012-01-01,42.0,jazz
falling,iration,2008-01-01,115.0,reggae
goodbye to everything reprise,between the buried and me,2012-01-01,1.0,jazz
don't cry daddy,elvis presley,1969-01-01,43.0,rock
turn up the bass,tyree cooper,2009-01-01,190.0,hip hop
what about you,waylon jennings,1980-01-01,34.0,country
hey hey hey,uncle kracker,2019-01-01,78.0,country
black dragon,the vines,2011-01-01,46.0,blues
i ain't gonna be the first to cry,bobby "blue" bland,1974-01-01,43.0,blues
honey i sure miss you,daniel johnston,1989-01-01,32.0,pop
changes,tesla,1986-01-01,84.0,rock
what kind of fool,gary allan,2005-01-01,80.0,country
victim of love,whitesnake,1982-01-01,97.0,blues
touch,josh abbott band,2012-01-01,61.0,country
out the door,mishka,1999-01-01,34.0,reggae
as you turn away,lady antebellum,2011-01-01,68.0,country
evil ways (justice mix),blues saraceno,2015-01-01,79.0,blues
give me your love,freddie mcgregor,1982-01-01,44.0,reggae
false faces,dan fogelberg,1977-01-01,62.0,country
old time lovin',the oak ridge boys,1977-01-01,108.0,country
superstar,ms. lauryn hill,1998-01-01,172.0,pop
you upset me, baby,b.b. king,1957-01-01,56.0,blues
go and say goodbye,buffalo springfield,1966-01-01,66.0,country
seasons of my heart,johnny cash,1960-01-01,47.0,country
zombie,the cranberries,1994-01-01,64.0,pop
i fall in love too easily,bill evans trio,1962-01-01,32.0,jazz
smoke gets in your eyes,bryan ferry,1974-01-01,42.0,pop
chop chop,youngbloodz,2019-01-01,104.0,hip hop
the sick bed of cuchulainn,the pogues,1985-01-01,107.0,rock
missing you,dan fogelberg,2001-01-01,56.0,country
hey you,the pharcyde,1995-01-01,152.0,jazz
sweet dream,jethro tull,1978-01-01,64.0,blues
fear of falling,the gregg allman band,1988-01-01,44.0,country
motel lover,marvin sease,1989-01-01,58.0,blues
she loves my troubles away,john conlee,1988-01-01,62.0,country
fly away,michael jackson,1987-01-01,41.0,pop
seasons change,axian,2017-01-01,73.0,jazz
party on fifth ave.,mac miller,2011-01-01,104.0,pop
so he won't break,the black keys,2008-01-01,57.0,blues
getchoo,weezer,1996-01-01,69.0,pop
one,metallica,1999-01-01,75.0,rock
murder to the mind,tash sultana,2017-01-01,97.0,reggae
run samson run,neil sedaka,1959-01-01,69.0,pop
vampire,peter tosh,1977-01-01,123.0,reggae
blue on black,kenny wayne shepherd,1997-01-01,110.0,blues
10 lovers,the black keys,2014-01-01,41.0,blues
these boots are made for walking,lee hazlewood,1966-01-01,45.0,country
don't touch me there,reba mcentire,1986-01-01,60.0,country
amazing grace (interlude),darius rucker,2002-01-01,8.0,country
liquor,chris brown,2015-01-01,120.0,pop
innamorata,dean martin,1956-01-01,28.0,jazz
i will survive,juliana aquino,2006-01-01,77.0,jazz
a love of your own,average white band,1976-01-01,42.0,jazz
king of fools,will downing,2003-01-01,49.0,jazz
obfuscation,between the buried and me,2009-01-01,118.0,jazz
remember me (the girl in the wood),frankie laine,1956-01-01,71.0,pop
crack in your eye,thee oh sees,2011-01-01,27.0,blues
wild ripplin' waters,michael martin murphey,1989-01-01,113.0,country
uh-oh, love comes to town,talking heads,1977-01-01,71.0,rock
someone to give my love to,tracy byrd,1993-01-01,35.0,country
night and day,oscar peterson,1953-01-01,76.0,jazz
whisper you love me boy,mary wells,1964-01-01,31.0,pop
lie,alborosie,2018-01-01,126.0,reggae
east coast to the west coast,capleton,1997-01-01,191.0,reggae
angel,jamey johnson,2008-01-01,57.0,country
bassment jazz,flofilz,2015-01-01,134.0,jazz
giants fall,francesca battistelli,2014-01-01,84.0,rock
(prayer is the key to heaven) faith unlocks the door,don gibson,1958-01-01,19.0,country
no regrets,phoebe snow,1976-01-01,37.0,blues
horns arising,black mountain,2019-01-01,60.0,blues
st. louis blues,louis prima,1991-01-01,86.0,blues
the last leaf,the cascades,1963-01-01,49.0,pop
wailing of the willow,astrud gilberto,1969-01-01,49.0,jazz
downtown tonight,tyler bryant & the shakedown,2013-01-01,77.0,blues
it's driving me wild,conway twitty,1962-01-01,166.0,country
love reunited,the desert rose band,1987-01-01,44.0,country
love in this club (feat. young jeezy),usher,2008-01-01,160.0,pop
could i have this dance,anne murray,1994-01-01,48.0,pop
theme from the last waltz,the band,2002-01-01,7.0,country
breakdown,gary clark jr.,2012-01-01,76.0,blues
bye bye blackbird,nina simone,1962-01-01,23.0,blues
dammit, i changed again,the offspring,2000-01-01,85.0,pop
i am damo suzuki,the fall,1985-01-01,82.0,blues
yummy yummy yummy,ohio express,1968-01-01,80.0,pop
belshazzar,johnny cash,1964-01-01,79.0,country
fame,irene cara,1980-01-01,184.0,pop
grow old with me,mary chapin carpenter,1989-01-01,24.0,country
lazy day,us3,1993-01-01,118.0,jazz
run to me,cross canadian ragweed,2001-01-01,34.0,country
the book of love,the magnetic fields,1999-01-01,41.0,pop
kingdom dub,jah shaka,1986-01-01,178.0,reggae
mo money mo problems,the notorious b.i.g.,1997-01-01,184.0,pop
it serves me right,john lee hooker,1973-01-01,79.0,blues
tule's blues,warren zevon,1978-01-01,76.0,country
hellzapoppin',louis armstrong,1968-01-01,58.0,jazz
my bucket's got a hole in it,louis armstrong,1989-01-01,22.0,jazz
connection,elastica,1995-01-01,39.0,pop
regrets,casey donahew,2011-01-01,103.0,country
miles out,john mclaughlin,1976-01-01,73.0,jazz
every minute, every hour,dean martin,1964-01-01,32.0,jazz
where i'm from,kiko bun,2015-01-01,190.0,reggae
so cold,breaking benjamin,2004-01-01,24.0,pop
blind dumb deaf,cocteau twins,1982-01-01,35.0,pop
ex's and oh's,atreyu,2006-01-01,90.0,pop
new kid on the block,marc reis,2015-01-01,141.0,hip hop
fear,sarah mclachlan,1993-01-01,48.0,pop
signs, high times,tedeschi trucks band,2019-01-01,106.0,blues
chevrolet,taj mahal,1967-01-01,22.0,blues
megatron,nicki minaj,2019-01-01,169.0,pop
invisible sun,aswad,1999-01-01,66.0,reggae
dancing in the street,the mamas & the papas,1966-01-01,116.0,pop
tender years,john cafferty & the beaver brown band,1983-01-01,40.0,rock
dukes of hazzard,upchurch,2018-01-01,163.0,country
merry christmas darling,carpenters,1978-01-01,41.0,rock
early sunsets over monroeville,my chemical romance,2002-01-01,109.0,pop
goodbye yesterday,jimmy cliff,2003-01-01,147.0,reggae
someday my prince will come,the dave brubeck quartet,1955-01-01,31.0,jazz
guess it’s all over,mndsgn,2016-01-01,77.0,jazz
shifting gears,johnny "hammond" smith,1996-01-01,74.0,jazz
anytime you need a friend,mariah carey,1993-01-01,58.0,pop
make love stay,dan fogelberg,1979-01-01,68.0,country
now that i'm down,son seals,1973-01-01,54.0,blues
boom!,system of a down,2002-01-01,123.0,rock
when we all get to heaven,brad paisley,2007-01-01,33.0,country
riot,three days grace,2006-01-01,66.0,pop
long lonely nights,bobby vinton,1962-01-01,62.0,pop
she is my lady,donny hathaway,1971-01-01,74.0,jazz
didn't i (blow your mind this time),aretha franklin,1972-01-01,104.0,blues
the enemy,andrew belle,2013-01-01,71.0,rock
outside,the fixx,1983-01-01,63.0,pop
sugar blues,thin lizzy,1980-01-01,55.0,blues
ambitious,wire,1987-01-01,44.0,blues
stardust,wynton marsalis,1984-01-01,40.0,jazz
i surrender, dear,les paul,1957-01-01,36.0,pop
all virgins,shaggy,1993-01-01,174.0,reggae
gonna get by,james gang,1975-01-01,162.0,country
blue moon of kentucky,elvis presley,1959-01-01,82.0,rock
true love waits,radiohead,2016-01-01,30.0,rock
ghosts of cape horn,gordon lightfoot,1988-01-01,99.0,country
your long journey,robert plant,2007-01-01,44.0,blues
dixie,lee greenwood,1992-01-01,99.0,country
prince of peace,galliano,1992-01-01,178.0,jazz
skillz,super sonic,2009-01-01,186.0,hip hop
american nightmare,misfits,1985-01-01,67.0,rock
blues stew,kenny neal,1991-01-01,44.0,blues
in a week (feat. karen cowley),hozier,2014-01-01,102.0,pop
war pigs,faith no more,1989-01-01,72.0,rock
i never go around mirrors,willie nelson,1977-01-01,7.0,country
send the pain below,chevelle,2002-01-01,32.0,rock
all i ever need is you,sonny & cher,1990-01-01,37.0,pop
